,50_LRSSL
ACC,0.009779951100244499
AUC,0.4988541280953479
Fscore,0.00021606194445700618
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5298955812824484
NDCGk,0.2220658607451484
global AUC,0.10862079982256675
global NDCG,0.3969606575859724
prediction time (sec),1.698582649230957
training time (sec),180.26940774917603
