,66_LogisticMF
ACC,0.974025974025974
AUC,0.5
Fscore,0.00016377917039673464
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.7767968219365589
NDCGk,0.1724801829511781
global AUC,0.96673863716557
global NDCG,0.6222738893400341
prediction time (sec),0.4903073310852051
training time (sec),116.99000716209412
