,51_SimpleBinaryClassifier
ACC,1.0
AUC,0.5
Fscore,0.0018876231996239703
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5153720639789092
NDCGk,0.27890988615983525
global AUC,0.8948681506496197
global NDCG,0.48241790134669
prediction time (sec),2.5177276134490967
training time (sec),723.8599514961243
