,91_LogisticMF
ACC,0.975609756097561
AUC,0.5
Fscore,0.0005653364534070744
HR@10,0.0375
HR@2,0.0
HR@5,0.0125
Lin's AUC,0.6684287509941018
NDCGk,0.19119325812226443
global AUC,0.9434658261518333
global NDCG,0.48762490422080973
prediction time (sec),0.010672330856323242
training time (sec),7.956360816955566
