,18_PMF
ACC,0.6253229974160207
AUC,0.5606152019312343
Fscore,0.0017097195141380502
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5662370199981388
NDCGk,0.22339221403703996
global AUC,0.616483740706766
global NDCG,0.4686396843512274
prediction time (sec),0.01926398277282715
training time (sec),19.73344397544861
