,89_ALSWR
ACC,0.038497652582159626
AUC,0.4910507070544669
Fscore,7.891829326037775e-06
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.020158540903369552
NDCGk,0.17992171930466416
global AUC,0.0988141464058844
global NDCG,0.40673349161746153
prediction time (sec),0.1400132179260254
training time (sec),48.815858125686646
