,20_PMF
ACC,0.5975609756097561
AUC,0.5457853200053117
Fscore,0.0004812605400620495
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5416627284346798
NDCGk,0.19477615020620997
global AUC,0.603291550879621
global NDCG,0.33580951331487396
prediction time (sec),0.0066928863525390625
training time (sec),8.98571228981018
