,62_SimpleBinaryClassifier
ACC,1.0
AUC,0.5
Fscore,0.0011326870492737902
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.4727852743668495
NDCGk,0.22372748513658097
global AUC,0.8980583734230357
global NDCG,0.49007818986988466
prediction time (sec),2.0942699909210205
training time (sec),666.8752913475037
