,36_DDA_SKF
ACC,0.32673267326732675
AUC,0.5823096293348249
Fscore,0.00017336732063031934
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.3859972293782337
NDCGk,0.19978242294455445
global AUC,0.4015035398319133
global NDCG,0.35184515326455806
prediction time (sec),1.3755509853363037
training time (sec),312.34924697875977
