,30_ALSWR
ACC,0.6770491803278689
AUC,0.5956016157457077
Fscore,0.001091734233310496
HR@10,0.014754098360655738
HR@2,0.003278688524590164
HR@5,0.00819672131147541
Lin's AUC,0.6341912171151723
NDCGk,0.22493029594457814
global AUC,0.6869140216774776
global NDCG,0.7530825963815307
prediction time (sec),0.07512736320495605
training time (sec),36.63693284988403
