,100_SimpleBinaryClassifier
ACC,1.0
AUC,0.5
Fscore,0.0013615713989582252
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.47963623981181736
NDCGk,0.2265801114150952
global AUC,0.8997171129821253
global NDCG,0.48077998809528083
prediction time (sec),1.7925171852111816
training time (sec),498.5911076068878
