,66_FastaiCollabWrapper
ACC,0.9662379421221865
AUC,0.5
Fscore,0.00023365721382952442
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.5431408740190712
NDCGk,0.16572411557719868
global AUC,0.8943617944711972
global NDCG,0.49642885976983925
prediction time (sec),170.21745824813843
training time (sec),1728.5856993198395
