,3_SimpleBinaryClassifier
ACC,1.0
AUC,0.5
Fscore,0.004049670655826028
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.45717635893731
NDCGk,0.24538664018780795
global AUC,0.9036368142978627
global NDCG,0.46600730491148923
prediction time (sec),3.231795310974121
training time (sec),1359.9298431873322
