,30_LRSSL
ACC,0.0
AUC,0.4998427440795525
Fscore,0.0
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.48543634604099234
NDCGk,0.2788477184736236
global AUC,0.10001559366901402
global NDCG,0.38655436499101764
prediction time (sec),2.101303815841675
training time (sec),205.571209192276
