,10_MBiRW
ACC,1.0
AUC,0.5
Fscore,0.001443635109436188
HR@10,0.0103359173126615
HR@2,0.002583979328165375
HR@5,0.00516795865633075
Lin's AUC,0.853672638417683
NDCGk,0.23524928133639156
global AUC,0.9726121795824201
global NDCG,0.6954713492439242
prediction time (sec),0.025997161865234375
training time (sec),2859.1038959026337
