,6_ALSWR
ACC,0.07142857142857142
AUC,0.5128825139992584
Fscore,0.00032218650867717625
HR@10,0.0
HR@2,0.0
HR@5,0.0
Lin's AUC,0.07012925376795083
NDCGk,0.2197401121890531
global AUC,0.15737404230772448
global NDCG,0.3907125678437705
prediction time (sec),0.08381867408752441
training time (sec),51.71382784843445
